iter	AUC	Logloss
644	0.9310919046	0.2729250755
645	0.9310961664	0.272918946
646	0.9311009347	0.2729073618
647	0.9311202466	0.2728724966
648	0.9311202466	0.2728719905
649	0.9311242104	0.2728665733
650	0.9311242402	0.2728664421
651	0.9311243892	0.272865936
652	0.9311314821	0.272851465
653	0.9311322868	0.272849778
654	0.9311325848	0.2728491032
655	0.9311339855	0.2728446045
656	0.9311332703	0.2728432173
657	0.9311420918	0.2728288589
658	0.9311415255	0.2728280529
659	0.9311417043	0.2728278467
660	0.9311416745	0.2728220733
661	0.9311546981	0.2727802913
662	0.9311551452	0.272777892
663	0.9311554432	0.2727774984
664	0.9311707616	0.2727432892
665	0.931183219	0.2727158282
666	0.9311847985	0.2727119106
667	0.9311845601	0.2727112358
668	0.931184262	0.2727101298
669	0.9311872423	0.2727000452
670	0.9311872721	0.2726990142
671	0.9311926067	0.2726898855
672	0.9311960936	0.2726851056
673	0.9311987162	0.2726797259
674	0.9312037826	0.2726741775
675	0.9312051535	0.2726707847
676	0.931206435	0.2726685728
677	0.9312063456	0.2726683853
678	0.9312125146	0.2726582632
679	0.9312121868	0.2726580008
680	0.9312146604	0.2726535395
681	0.9312150478	0.2726529209
682	0.9312168658	0.2726503154
683	0.9312179387	0.2726465477
684	0.9312178791	0.2726462853
685	0.9312196076	0.2726433986
686	0.9312221706	0.2726344386
687	0.931222409	0.2726338388
688	0.9312237203	0.2726293963
689	0.9312350154	0.2726070713
690	0.9312347472	0.2726067902
691	0.9312388003	0.2725961619
692	0.9312428832	0.2725906322
693	0.9312539995	0.2725651769
694	0.9312553108	0.2725581664
695	0.93125543	0.2725569855
696	0.9312585294	0.2725522993
697	0.9312611222	0.2725484566
698	0.9312610626	0.2725478568
699	0.9312635362	0.2725452138
700	0.9312633872	0.2725446889
701	0.9312644303	0.2725422334
702	0.9312641621	0.2725415211
703	0.9312662184	0.2725392155
704	0.9312664568	0.272538147
705	0.9312775433	0.2725266003
706	0.9312795103	0.272516853
707	0.9312798083	0.2725149973
708	0.9312939048	0.2724853994
709	0.9312982261	0.2724795135
710	0.9313008189	0.272475952
711	0.9313137829	0.2724486597
712	0.9313135147	0.2724484723
713	0.9313168228	0.2724331203
714	0.9313168526	0.2724330641
715	0.9313168526	0.2724313208
716	0.9313252568	0.2724174685
717	0.9313252866	0.2724174685
718	0.9313289821	0.2724099893
719	0.931332469	0.2723777859
720	0.931333065	0.2723766425
721	0.9313329756	0.2723763426
722	0.9313368201	0.2723341857
723	0.9313396215	0.2723292183
724	0.9313490987	0.2723194336
725	0.9313536882	0.2723119545
726	0.931358844	0.2723039692
727	0.9313586354	0.2723034256
728	0.9313584268	0.272302957
729	0.9313591719	0.272300389
730	0.9313593805	0.2723002015
731	0.9313610792	0.272298327
732	0.9313637912	0.272293997
733	0.9313643277	0.2722931722
734	0.9313688576	0.2722870427
735	0.9313689172	0.2722865554
736	0.9313720167	0.2722811194
737	0.9313791394	0.2722646053
738	0.9313788116	0.2722644553
739	0.9313786924	0.2722640429
740	0.9313786626	0.2722635743
741	0.9313863516	0.2722558515
742	0.9313916266	0.2722472664
743	0.9313919842	0.2722462355
744	0.9313920736	0.2722457294
745	0.9313919842	0.2722455607
746	0.9314113557	0.2722113703
747	0.9314128458	0.272208821
748	0.931415081	0.2722073777
749	0.9314155579	0.2722067966
750	0.9314157963	0.2722058593
751	0.9314169586	0.2722042098
752	0.9314206243	0.2721966557
753	0.9314207137	0.2721958496
754	0.9314217865	0.2721941626
755	0.9314223528	0.272192963
756	0.9314223826	0.2721925131
757	0.9314240515	0.2721790544
758	0.9314239919	0.2721789794
759	0.9314305484	0.2721655019
760	0.9314388037	0.2721530367
761	0.9314432144	0.2721461386
762	0.9314565063	0.2721207583
763	0.9314580858	0.2721195961
764	0.9314598441	0.2721152099
765	0.9314598143	0.2721150786
766	0.9314610064	0.2721117608
767	0.9314620495	0.2721069809
768	0.9314793348	0.2720795012
769	0.931479305	0.2720794449
